"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:07 GMT 2024","4441","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Restarting nsm-manager pod Check ping between iperf-server and iperf-client after nsm-manager pod restart",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:40:03 GMT 2024","60474","","Worker Suite","","Worker Suite","","[It] Pod-restart test cases Iperf connectivity Verify Iperf traffic",""
"skipped","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] mutation webhook tests Testing mutation webhook functionality after namespace deboard Should remove labels and annotaions from pod spec which will remove sidecars from daemonsets",""
"skipped","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","0","","Worker Suite","","Worker Suite","","[It] GW redundacy tests Test gw redundancy run iperf",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:23 GMT 2024","20051","","Worker Suite","","Worker Suite","","[It] Slice Creation scenarios Slice with MEDIUM QOS should have gateway pod running",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","66","","Worker Suite","","Worker Suite","","[It] Slice Config Negative Scenario tests Slice Config Negative Scenario Creation Should fail while creating sliceconfig with invalid clusters",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:40:59 GMT 2024","116951","","Worker Suite","","Worker Suite","","[It] Edit NodeIP tests for cluster CR,  Edit NodeIP validation,  Edit node IP in cluster spec",""
"passed","Tue Apr 16 09:43:07 GMT 2024","Tue Apr 16 09:43:07 GMT 2024","323","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[It] Verify vpn key rotation functionality: update sliceconfig and set renewBefore",""
"passed","Tue Apr 16 07:55:13 GMT 2024","Tue Apr 16 07:59:14 GMT 2024","241033","","SliceHealth Suite","","SliceHealth Suite","","[It] Testing Slice Health feature >  Verify various properties of SliceHealth object in worker slice config spec >  Should have slicegateway in Error state when both slicegateways are unavailable",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:40 GMT 2024","37046","","Worker Suite","","Worker Suite","","[It] Attach/Deattach Scenario Attach cluster to a slice  when Deattach cluster from slice  should have vl3 router deleted from deattach cluster",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:03 GMT 2024","573","","Worker Suite","","Worker Suite","","[It] Slice Config Events Test Events get recorded for slice qos config deletion Validating events for slice qos config deletion",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:31 GMT 2024","28111","","Worker Suite","","Worker Suite","","[It] Slice creation scenarios: when slice red is installed workers should have gateway pod running",""
"passed","Tue Apr 16 09:43:07 GMT 2024","Tue Apr 16 09:43:07 GMT 2024","92","","VPNKeyRotation Suite","","VPNKeyRotation Suite","","[It] Verify vpn key rotation functionality: should have status updated from all the worker clusters to COMPLETE",""
"passed","Tue Apr 16 08:39:03 GMT 2024","Tue Apr 16 08:39:06 GMT 2024","3082","","Worker Suite","","Worker Suite","","[It] Test Slice Gateway Service config >  gatewayServiceType: LB >  verify slice gw edge creation",""
